uniq_id,product_name,category_main,description_clean,image,image_array
55b85ea15a1536d46b7190ad6fff8ce7,Elegance Polyester Multicolor Abstract Eyelet Door Curtain,home furnishing,key feature elegance polyester multicolor abstract eyelet door curtain floral curtain elegance polyester multicolor abstract eyelet door curtain       cm height   pack     price   r       curtain enhance look interior curtain       high quality polyester fabric feature eyelet style stitch metal ring make room environment romantic love curtain ant   wrinkle anti shrinkage elegant apparance home bright modernistic appeal design   surreal attention sure steal heart   contemporary eyelet valance curtain slide smoothly draw apart thing morning welcome bright sun ray want wish good morning world draw close evening   create special moment joyous beauty give soothe print   bring home elegant curtain softly filter light room right sunlight   specification elegance polyester multicolor abstract eyelet door curtain       cm height   pack     general brand elegance design door type eyelet model abstract polyester door curtain set    model d duster    color multicolor dimension length      cm box number content sale package pack    sale package    curtain body    design material polyester,55b85ea15a1536d46b7190ad6fff8ce7.jpg,"[[206 206 207 ... 171 170 170]
 [207 208 208 ... 171 171 171]
 [209 210 210 ... 172 172 172]
 ...
 [160 159 157 ...  70  60  54]
 [162 161 160 ...  56  60  62]
 [169 169 169 ...  52  69  77]]"
7b72c92c2f6c40268628ec5f14c6d590,Sathiyas Cotton Bath Towel,baby care,specification sathiyas cotton bath towel     bath towel   red   yellow   blue   bath towel feature machine washable yes material cotton design self design general brand sathiyas type bath towel gsm      model sathiyas cotton bath towel ideal man   woman   boy   girl model d asvtwl     color red   yellow   blue size mediam dimensions length     inch width     inch box number content sale package    sale package    bath towel,7b72c92c2f6c40268628ec5f14c6d590.jpg,"[[255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]]"
64d5d4a258243731dc7bbb1eef49ad74,Eurospa Cotton Terry Face Towel Set,baby care,key feature eurospa cotton terry face towel set size   small height     inch gsm       eurospa cotton terry face towel set      piece face towel set   assort   price   r       eurospa bring exclusively design        soft cotton towel export quality   product soft texture take care skin give enrich feeling deserve   eurospa export bath towel lot renowned brand     year famous fine print   absorbency   softness durability   note   product       cotton   susceptible shrinkage   product color vary picture   size vary      wash care   wash cold water   iron   bleach   flat dry   wash use   size   face towel       cms x     cms   specification eurospa cotton terry face towel set      piece face towel set   assort   bath towel feature material cotton terry design shuvam general brand eurospa gsm      type face towel set model shuvam   pcftsetassorted ideal boy   girl   man   woman model d shuvam   pcftsetassorted size small color assorted dimension weight      g length    inch width    inch box number content sale package     sale package     piece face towel set,64d5d4a258243731dc7bbb1eef49ad74.jpg,"[[255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 254 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]]"
d4684dcdc759dd9cdf41504698d737d8,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,home furnishing,key feature santosh royal fashion cotton print king size double bedsheet royal bedsheet perfact wedding    gift specification santosh royal fashion cotton print king size double bedsheet     bedsheet    pillow cover   multicolor   general brand santosh royal fashion machine washable yes type flat material cotton model gold design royal cotton print wedding    gift double bedsheet    pillow cover model d goldbedi     color multicolor size king fabric care machine wash   bleach dimension flat sheet width     inch        cm fit sheet width      cm pillow cover width     inch       cm pillow cover length     inch       cm fit sheet depth      cm fit sheet length      cm flat sheet depth      cm flat sheet length      inch        cm box number content sale package    sale package    bedsheet    pillow cover,d4684dcdc759dd9cdf41504698d737d8.jpg,"[[255 255 255 ... 255 255 255]
 [255 255 255 ... 254 255 255]
 [255 255 255 ... 253 253 253]
 ...
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]]"
6325b6870c54cd47be6ebfbffa620ec7,Jaipur Print Cotton Floral King sized Double Bedsheet,home furnishing,key feature jaipur print cotton floral king size double bedsheet       cotton jaipur print cotton floral king size double bedsheet     bed sheet    pillow cover   white   price   rs       nice bed sheet       cotton comfort   bed sheet hand print   bedsheet give nice look room fast colour good quality give bedsheet long life   specification jaipur print cotton floral king size double bedsheet     bed sheet    pillow cover   white   general machine washable yes brand jaipur print type flat model jaipur     material cotton thread count      model d jaipur     fabric care machinewash   bleach size king color white warranty waranty product manufacture defect product exchange onle returne origional packing dimension flat sheet width     inch        cm fit sheet width    cm pillow cover width     inch       cm pillow cover length     inch       cm weight      g fit sheet depth    cm fit sheet length    cm flat sheet depth      cm flat sheet length      inch        cm box number content sale package    sale package    bed sheet    pillow cover,6325b6870c54cd47be6ebfbffa620ec7.jpg,"[[161 158 152 ... 221 223 224]
 [155 151 144 ... 223 223 223]
 [118 120 124 ... 219 208 202]
 ...
 [ 90 110 129 ... 136 139 138]
 [ 75  95 116 ... 124 124 124]
 [ 70  84  99 ... 106 107 107]]"
893aa5ed55f7cff2eccea7758d7a86bd,Maserati Time R8851116001 Analog Watch  - For Boys,watches,maserati time r            analog watch     boy    buy maserati time r            analog watch     boy   r            online rs        india flipkart com     great discount   genuine product      day replacement guarantee   free shipping   cash delivery,893aa5ed55f7cff2eccea7758d7a86bd.jpg,"[[255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]]"
f355cc1ccb08bd0d283ed979b7ee7515,"Camerii WM64 Elegance Analog Watch  - For Men, Boys",watches,camerii wm    elegance analog watch     man   boy    buy camerii wm    elegance analog watch     man   boy   wm    online rs      india flipkart com     great discount   genuine product      day replacement guarantee   free shipping   cash delivery,f355cc1ccb08bd0d283ed979b7ee7515.jpg,"[[255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]]"
dd0e3470a7e6ed76fd69c2da27721041,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,watches,"t star uft tsw      bk br analog watch     boy 
                          price   rs     
				
			 way work travel abroad family   lifestyle accessory like watch   wallet belt help add touch sophistication class mundane regular daily wear   come   suave leather belt intricately design finished timepiece separate rest 
 way work travel abroad family   lifestyle accessory like watch   wallet belt help add touch sophistication class mundane regular daily wear   come   suave leather belt intricately design finished timepiece separate rest",dd0e3470a7e6ed76fd69c2da27721041.jpg,"[[255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]]"
41384da51732c0b4df3de8f395714fbb,"Alfajr WY16B Youth Digital Watch  - For Men, Boys",watches,alfajr wy   b youth digital watch     man   boy    buy alfajr wy   b youth digital watch     man   boy   wy   b online rs       india flipkart com   azan time    city world     prayer reminder   qibla direction   hijri gregorian calnedar   qur bookmark   daily alram    great discount   genuine product      day replacement guarantee   free shipping   cash delivery,41384da51732c0b4df3de8f395714fbb.jpg,"[[255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]]"
710ed5f2393a4b9e8823aa0029f71f93,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",watches,tag heuer cau      ba      formula    analog watch     boy   man    buy tag heuer cau      ba      formula    analog watch     boy   man   cau      ba      online rs         india flipkart com   swiss   quartz movement   scratch resistant   sapphire crystal glass   water resistant      metre   feature chronograph    great discount   genuine product      day replacement guarantee   free shipping   cash delivery,710ed5f2393a4b9e8823aa0029f71f93.jpg,"[[255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 ...
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]
 [255 255 255 ... 255 255 255]]"
